,id,type,name,canonical,cached_count,merger_id
565,673,Fandom,24,False,6982,1002818.0
1527206,3693074,Fandom,モブサイコ100 | Mob Psycho 100,True,6978,
235,272,Fandom,House M.D.,True,6967,
1948445,5500317,Fandom,Ensemble Stars! (Video Game),True,6926,
241520,431213,Fandom,Superman - All Media Types,True,6844,
7447618,28410929,Fandom,呪術廻戦 | Jujutsu Kaisen (Manga),True,6782,
5682,6891,Fandom,Yu-Gi-Oh!,False,6780,26110751.0
65589,94259,Fandom,Tennis no Oujisama | Prince of Tennis,True,6764,
25183,32663,Fandom,SHINee,True,6762,
2518759,7890514,Fandom,Fate/Grand Order,True,6720,
1624872,4153523,Fandom,Life Is Strange (Video Game),True,6716,
3505063,12008083,Fandom,yuri on ice,False,6687,11444638.0
1101638,1928582,Fandom,Agent Carter (TV),True,6679,
44723,62494,Fandom,Gintama,True,6677,
1368804,3034556,Fandom,Carmilla (Web Series),True,6611,
92147,133386,Fandom,Les Misérables - Victor Hugo,True,6601,
17462,22034,Fandom,Professional Wrestling,True,6585,
23392,30112,Fandom,Arashi (Band),True,6566,
976,1157,Fandom,Fullmetal Alchemist,False,6544,2954180.0
7861,9630,Fandom,Star Trek (2009),False,6521,601802.0
732881,1072216,Fandom,The Mortal Instruments Series - Cassandra Clare,True,6514,
178704,274053,Fandom,Walking Dead,False,6507,6906220.0
908233,1302228,Fandom,The Musketeers (2014),True,6470,
15467,19427,Fandom,Figure Skating RPF,True,6443,
4611709,16652955,Fandom,Wanna One (Band),True,6419,
23559,30349,Fandom,X-Men (Comicverse),True,6407,
4278501,15270224,Fandom,IT (2017),False,6328,34555820.0
63483,90773,Fandom,Durarara!!,True,6253,
1384205,3094364,Fandom,終わりのセラフ | Owari no Seraph | Seraph of the End,True,6247,
164,183,Fandom,Harry Potter - Rowling,False,6220,136512.0
9735123,37451953,Fandom,Shall We Date?: Obey Me!,True,6201,
12676,15766,Fandom,Captain America,False,6191,578887.0
5024842,18403575,Fandom,Schitt's Creek,True,6183,
1749867,4674654,Fandom,Pitch Perfect (Movies),True,6173,
6801924,25760640,Fandom,魔道祖师 | Módào Zǔshī (Cartoon),True,6054,
753748,1099950,Fandom,Brooklyn Nine-Nine (TV),True,6027,
4208413,14988696,Fandom,Dangan Ronpa: Trigger Happy Havoc,True,6002,
314158,525714,Fandom,Nightwing (Comics),True,5989,
68648,99117,Fandom,Doctor Who (1963),True,5984,
12183,15106,Fandom,Johnny's Entertainment,True,5942,
775,910,Fandom,Battlestar Galactica (2003),True,5934,
927787,1327919,Fandom,Black Sails,True,5925,
32742,44716,Fandom,Team Fortress 2,True,5911,
1557788,3883994,Fandom,Kingsman: The Secret Service (2015),False,5903,10872934.0
5157,6226,Fandom,Star Trek: The Next Generation,True,5901,
3579671,12307111,Fandom,The Shadowhunter Chronicles - All Media Types,True,5881,
231923,419390,Fandom,Biohazard | Resident Evil (Gameverse),True,5880,
752529,1098294,Fandom,Red Hood and the Outlaws (Comics),True,5854,
7000985,26574617,Fandom,天官赐福 - 墨香铜臭 | Tiān Guān Cì Fú - Mòxiāng Tóngxiù,True,5823,
361334,586437,Fandom,The Avengers - Ambiguous Fandom,True,5821,
1903546,5316694,Fandom,Doctor Strange (2016),True,5794,
726906,1064218,Fandom,Teenage Mutant Ninja Turtles - All Media Types,True,5774,
7635914,29157644,Fandom,Red Dead Redemption (Video Games),True,5736,
27208,35821,Fandom,Super Junior,True,5721,
281221,483836,Fandom,League of Legends,True,5705,
3394,4151,Fandom,Psych,False,5696,36230543.0
198090,299359,Fandom,Wiedźmin | The Witcher (Video Game),True,5679,
6888870,26110751,Fandom,Yu-Gi-Oh! Duel Monsters (Anime & Manga),True,5605,
2893,3544,Fandom,Death Note,False,5577,8774227.0
11952521,46023568,Fandom,Dream SMP - Fandom,False,5577,218280.0
5620806,20965191,Fandom,Hazbin Hotel (Web Series),True,5571,
41059,56917,Fandom,Assassin's Creed,False,5563,13220272.0
2425,2870,Fandom,D.Gray-man,True,5493,
